age,gender,occupation,past_attendance,social_media_followers,interest_in_music,interest_in_art,interest_in_technology,distance_from_venue,has_plus_one,invited
23,Male,Student,True,576,True,True,True,10.0,True,True
35,Male,Developer,True,942052,True,True,True,2.46,True,False
29,Female,Engineer,False,291076,True,False,True,70.48,False,True
62,Male,Musician,False,269344,False,True,False,97.26,False,True
70,Male,Musician,False,267420,True,True,False,64.05,True,False
35,Male,Engineer,False,732094,False,True,False,73.5,False,False
36,Female,Developer,True,161857,True,True,False,52.52,False,False
62,Female,Engineer,False,216261,True,False,False,31.81,False,False
40,Female,Engineer,True,690740,True,False,True,57.0,False,False
56,Male,Teacher,False,226571,False,True,True,24.77,True,False
69,Male,Engineer,True,776041,True,True,True,59.52,True,True
55,Female,Teacher,True,806148,True,True,False,18.1,False,False
36,Female,Engineer,True,877859,True,True,False,21.3,False,True
40,Male,Doctor,True,191902,False,False,False,47.86,True,False
70,Female,Teacher,True,461456,True,True,True,39.39,False,False
53,Female,Engineer,False,553406,False,False,False,81.68,False,True
44,Male,Developer,False,170426,False,True,True,98.67,False,False
24,Male,Doctor,False,196890,True,True,False,69.27,False,True
55,Male,Teacher,False,705090,False,True,False,98.79,False,False
58,Male,Developer,False,60972,False,False,True,19.2,False,False
20,Male,Musician,False,256236,False,False,True,90.96,True,True
70,Female,Developer,True,572458,True,True,False,25.25,True,True
66,Male,Developer,True,586775,True,False,False,40.83,True,False
56,Female,Developer,False,179148,False,False,False,45.46,False,True
56,Male,Artist,False,423253,True,False,True,24.05,True,True
52,Male,Teacher,True,149546,True,True,True,58.48,False,False
43,Male,Teacher,False,127768,True,True,False,41.84,True,False
70,Male,Musician,True,494865,True,False,False,76.33,False,True
61,Male,Doctor,True,171711,False,False,True,64.22,False,True
45,Male,Artist,True,36343,True,True,False,25.97,False,False
38,Male,Engineer,True,826269,True,False,False,92.99,False,False
52,Female,Artist,True,582616,False,True,True,54.37,False,True
42,Male,Artist,False,997219,True,True,True,29.77,False,True
20,Male,Artist,True,952866,True,True,False,56.43,True,True
24,Male,Developer,True,677803,True,True,True,10.16,True,True
40,Male,Teacher,False,741505,False,False,False,37.3,False,False
35,Male,Developer,False,902690,True,False,False,55.14,False,False
33,Male,Doctor,False,441937,False,False,False,43.07,True,True
28,Male,Artist,False,906054,True,True,False,29.76,True,True
70,Female,Developer,True,818977,True,True,False,13.19,False,False
23,Female,Musician,False,878171,True,True,False,34.83,False,False
48,Female,Engineer,False,359348,True,True,True,4.2,True,True
47,Male,Musician,False,70096,True,False,False,68.38,True,True
67,Male,Doctor,False,472164,True,False,True,78.32,True,True
58,Female,Teacher,False,82853,True,False,True,99.92,False,True
62,Female,Engineer,True,101381,False,False,True,34.09,True,False
52,Male,Artist,False,452660,False,False,False,90.43,False,True
52,Female,Musician,False,922896,False,True,True,14.62,False,False
18,Male,Artist,False,313583,False,True,True,32.29,True,False
56,Male,Teacher,False,216541,True,False,False,11.78,True,True
47,Male,Artist,True,633230,True,False,True,24.08,True,True
63,Male,Doctor,True,470029,False,False,False,48.19,False,False
57,Female,Artist,False,972432,True,False,False,99.62,True,False
29,Female,Developer,True,946737,False,True,False,79.95,False,True
46,Female,Doctor,True,970653,True,False,False,8.65,False,False
55,Male,Developer,True,223210,False,False,True,70.57,True,False
55,Male,Teacher,True,155509,False,False,True,62.21,False,False
50,Male,Teacher,True,173494,False,False,False,97.51,True,False
31,Male,Teacher,True,969645,True,True,False,59.89,True,True
39,Female,Musician,False,305523,True,True,False,38.52,True,False
47,Male,Engineer,False,352024,False,True,True,38.23,False,False
22,Female,Engineer,False,574086,False,True,False,95.94,False,True
36,Male,Teacher,False,918121,True,False,False,14.03,False,False
32,Male,Engineer,False,769218,False,False,True,23.46,False,True
54,Male,Musician,False,485358,True,False,False,70.52,False,False
20,Female,Engineer,True,60253,False,False,True,75.0,False,True
19,Male,Musician,False,303814,False,True,False,31.9,True,False
55,Female,Artist,True,670636,False,False,False,25.53,True,True
19,Female,Musician,True,309567,True,True,True,67.53,True,False
30,Male,Artist,False,178469,False,False,True,57.43,True,False
20,Male,Teacher,False,476683,False,False,False,65.01,False,True
32,Female,Developer,False,53116,True,True,False,6.45,False,True
35,Male,Artist,False,444852,True,False,True,69.18,False,True
64,Female,Developer,True,439593,False,False,True,31.89,True,True
53,Male,Engineer,True,848725,False,False,False,20.88,True,False
61,Male,Musician,False,559136,True,False,True,68.76,True,True
68,Female,Developer,False,45001,True,True,True,28.21,False,False
54,Male,Engineer,False,378976,False,False,False,71.37,True,False
59,Female,Teacher,True,591425,False,False,False,85.86,True,False
39,Male,Engineer,False,195296,False,True,True,98.74,False,False
37,Male,Doctor,True,271397,True,True,False,13.82,False,False
48,Female,Teacher,True,599536,True,True,False,55.24,True,True
47,Male,Artist,True,710411,True,False,False,69.58,False,False
68,Female,Teacher,True,626103,True,False,True,52.91,True,False
22,Female,Musician,False,745914,True,False,True,71.41,False,True
44,Male,Artist,False,752908,True,True,True,29.52,True,False
37,Female,Engineer,False,943275,False,True,False,92.22,False,True
65,Male,Doctor,False,15169,False,True,True,86.85,True,False
23,Male,Engineer,False,826603,False,False,True,21.73,True,True
32,Male,Musician,True,288555,True,True,True,48.51,False,False
21,Female,Artist,False,638914,True,False,True,4.26,False,False
32,Male,Developer,True,230584,False,False,False,75.75,False,False
63,Male,Teacher,True,553854,False,False,True,17.02,True,False
64,Female,Artist,True,336065,True,True,False,33.57,True,False
38,Male,Developer,False,537309,False,True,False,89.82,False,True
66,Female,Musician,False,584457,False,False,False,66.39,False,True
58,Male,Engineer,True,748204,False,False,False,70.59,True,True
